metadata,origin:fort-sterling,destination:aspenwood,name:Default Trade Mission
move,-6.414358,-30.906404
move,-4.5048227,-30.274044
move,-2.5158632,-29.704884
move,-0.5781703,-29.133385
move,1.1733372,-28.295258
move,2.7245824,-27.128834
move,4.090271,-25.75972
move,5.2713566,-24.205044
move,6.364041,-22.516264
move,7.610236,-20.424274
move,8.673435,-18.593046
move,9.741281,-16.798037
move,10.807197,-15.024305
move,11.87123,-13.271925
move,12.91431,-11.563134
move,14.020061,-9.791282
move,15.143534,-8.157813
move,16.352177,-6.6481733
move,17.859144,-5.2042975
move,19.47422,-4.0080934
move,21.209356,-3.0299203
move,23.036041,-2.142775
move,24.872528,-1.321943
move,26.772093,-0.55207455
move,28.701954,0.046114642
move,30.695202,0.4287
move,33.07991,0.6246357
move,35.559097,0.69756925
move,38.11079,0.62068117
move,40.743717,0.46017167
move,43.22185,0.35647708
move,45.74995,0.29297334
move,48.241867,0.23454885
move,50.6976,0.18246986
move,53.383636,0.15637693
move,56.0818,0.13335319
move,58.71946,0.1085101
move,61.22333,0.04503221
cluster,12
move,-341.5,-3.4868717E-06
move,-340.4439,-0.009210476
move,-338.99216,0.016201852
move,-337.53015,0.111179814
move,-336.03287,0.26095787
move,-334.56946,0.47033206
move,-333.08258,0.7013613
move,-331.5876,0.8685178
move,-330.08395,0.8532019
move,-328.63068,0.67168295
move,-327.14157,0.45763564
move,-325.65695,0.31278986
move,-323.13477,0.06415725
move,-321.5978,-0.08735272
move,-320.15283,-0.2297976
move,-319.2866,-0.31518942
move,-319.0579,-0.37961018
move,-317.74503,-0.7066217
move,-316.53195,-0.92838293
move,-315.32178,-1.0999997
move,-314.1118,-1.1691071
move,-312.911,-1.2025796
move,-311.7424,-1.2328768
move,-310.5418,-1.2688628
move,-309.34073,-1.2868677
move,-308.13956,-1.3013321
move,-306.93832,-1.3054532
move,-305.73706,-1.2930878
move,-304.53607,-1.2717174
move,-303.3143,-1.2230716
move,-302.11475,-1.159724
move,-300.89432,-1.0865201
move,-299.68454,-1.015594
move,-298.46344,-0.9537635
move,-297.2414,-0.91602397
move,-296.02945,-0.9034357
move,-294.80676,-0.90466756
move,-293.5849,-0.9462128
move,-292.3964,-1.168988
move,-291.46756,-1.8791817
move,-291.0643,-2.9356997
move,-290.9337,-4.214102
move,-290.9561,-5.4041643
move,-290.96945,-6.6051993
move,-290.93832,-7.8059835
move,-290.91998,-9.007042
move,-290.9009,-10.250993
move,-290.88162,-11.387678
move,-290.85626,-12.577884
move,-290.83197,-13.778837
move,-290.8147,-14.969184
move,-290.80054,-16.116673
move,-290.7857,-17.317781
move,-290.77164,-18.465271
move,-290.7576,-19.634212
move,-290.75623,-20.803226
move,-290.75854,-21.982983
move,-290.75885,-23.173462
move,-290.75784,-24.34249
move,-290.75668,-25.586592
move,-290.75476,-26.712719
move,-290.7508,-27.828112
move,-290.73264,-28.954084
move,-290.70883,-30.165775
move,-290.67313,-31.3854
move,-290.6036,-32.743183
move,-290.5096,-34.165676
move,-290.37363,-35.544926
move,-290.1523,-36.926064
move,-289.81036,-38.30983
move,-289.3936,-39.714176
move,-288.82132,-40.94504
move,-288.06396,-42.120663
move,-287.17526,-43.200768
move,-286.20676,-44.228226
move,-285.14157,-45.155155
move,-284.0255,-45.95247
move,-283.57602,-46.203396
move,-281.6512,-47.25102
move,-280.35437,-47.961025
move,-279.1401,-48.62927
move,-277.88324,-49.21076
move,-276.54712,-49.623276
move,-275.1413,-49.92782
move,-273.77222,-50.142513
move,-272.36884,-50.3001
move,-271.0005,-50.41035
move,-269.55075,-50.489475
move,-267.82214,-50.530518
move,-266.44943,-50.547333
move,-265.06342,-50.54728
move,-263.70374,-50.553463
move,-262.31784,-50.57272
move,-260.9059,-50.60788
move,-259.49625,-50.69082
move,-258.09018,-50.823917
move,-256.69,-51.008778
move,-255.34729,-51.22197
move,-253.95523,-51.52805
move,-252.61192,-51.919262
move,-251.27246,-52.366917
move,-249.94392,-52.846264
move,-248.60405,-53.333057
move,-247.32799,-53.872314
move,-246.16371,-54.52011
move,-245.10147,-55.344643
move,-244.12451,-56.399178
move,-243.29236,-57.69655
move,-242.72986,-59.020313
move,-242.25795,-60.391045
move,-241.83163,-61.65193
move,-241.39673,-62.93548
move,-241.01639,-64.23575
move,-240.71275,-65.51916
move,-240.45119,-66.76243
move,-240.24881,-68.065315
move,-240.14569,-69.36767
move,-240.13876,-70.65011
move,-240.18083,-71.94411
move,-240.25934,-73.22423
move,-240.36145,-74.4906
move,-240.49991,-75.777824
move,-240.61801,-77.10304
move,-240.69801,-78.33463
move,-240.78294,-79.578
move,-240.7415,-80.84703
move,-240.62135,-82.196884
move,-240.53528,-83.48842
move,-240.47684,-84.85444
move,-240.44203,-86.16074
move,-240.37883,-87.56284
move,-240.27148,-88.96228
move,-240.15123,-90.1906
move,-240.00441,-91.57431
move,-239.84868,-92.81082
move,-239.688,-94.24168
move,-239.59683,-95.460266
move,-239.5418,-96.69322
move,-239.53905,-97.92737
move,-239.54907,-99.173645
move,-239.58672,-100.38292
move,-239.66248,-101.6148
move,-239.73718,-102.834625
move,-239.81116,-104.09085
move,-239.89287,-105.31024
move,-239.97812,-106.57792
move,-240.05476,-107.8582
move,-240.11577,-109.175705
move,-240.1775,-110.40837
move,-240.24405,-111.70137
move,-240.32181,-113.05433
move,-240.42654,-114.30827
move,-240.61731,-115.698524
move,-240.8503,-116.89813
move,-241.15463,-118.25585
move,-241.46751,-119.43712
move,-241.9042,-120.745094
move,-242.48788,-122.0075
move,-243.12808,-123.07625
move,-243.91689,-124.20771
move,-244.76665,-125.2784
move,-245.73062,-126.28102
move,-246.81732,-127.148125
move,-248.00935,-127.864426
move,-249.27606,-128.4684
move,-250.56636,-128.98889
move,-251.8979,-129.43213
move,-253.22076,-129.82295
move,-254.55237,-130.22607
move,-255.65915,-130.76674
move,-256.7429,-131.55888
move,-257.7384,-132.52818
move,-258.54483,-133.64624
move,-259.19574,-134.83403
move,-259.70276,-136.1292
move,-260.07178,-137.47063
move,-260.42056,-138.83018
move,-260.86554,-140.13481
move,-261.46957,-141.38747
move,-262.26672,-142.55545
move,-263.18512,-143.55064
move,-264.2428,-144.45387
move,-265.33997,-145.29007
move,-266.32758,-146.05019
move,-267.32977,-146.8697
move,-268.2869,-147.81044
move,-269.1214,-148.83136
move,-269.87866,-149.88109
move,-270.50208,-151.04106
move,-270.91397,-152.25473
move,-271.16458,-153.52399
move,-271.23953,-154.7671
move,-271.1982,-156.0247
move,-271.12924,-157.28123
move,-271.05804,-158.54974
move,-271.0027,-159.81902
move,-270.98843,-161.10146
move,-271.01242,-162.37164
move,-271.0375,-163.64183
move,-271.06345,-164.9362
move,-271.06528,-166.26717
move,-271.0353,-167.53732
move,-271.01736,-168.80768
move,-271.01843,-170.0904
move,-271.01477,-171.36087
move,-270.93552,-172.62865
move,-270.77515,-173.87662
move,-270.58322,-175.13254
move,-270.39633,-176.41368
move,-270.25308,-177.68767
move,-270.1914,-178.96878
move,-270.15015,-180.25063
move,-270.166,-181.53313
move,-270.18442,-182.81558
move,-270.19336,-184.15858
move,-270.2013,-185.44106
move,-270.21368,-186.71141
move,-270.21667,-188.01813
move,-270.11514,-189.28424
move,-270.00864,-190.52608
move,-269.89658,-191.82819
move,-269.7842,-193.11797
move,-269.67188,-194.41986
move,-269.5597,-195.72174
move,-269.4488,-196.98737
move,-269.2951,-198.29704
move,-268.96848,-199.54825
move,-268.44128,-200.76915
move,-267.78198,-201.89699
move,-267.01242,-202.95241
move,-266.1129,-203.93246
move,-265.078,-204.82503
move,-264.02194,-205.61493
move,-262.92526,-206.3472
move,-261.68768,-207.05818
move,-260.49673,-207.59569
move,-259.3786,-208.08882
move,-258.21222,-208.59212
move,-257.00006,-209.01065
move,-255.77101,-209.3317
move,-254.53603,-209.57199
move,-253.26424,-209.73686
